Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC4H10
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;274.8;505;0.06
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;280.4;1010;0.06
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;284.5;1690;0.06
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;288.5;2820;0.06
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;274;304;0.152
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.9;564;0.152
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;283.4;1030;0.152
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;288.9;2030;0.152
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.9;208;0.286
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;277.2;356;0.286
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.2;477;0.286
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;280.2;602;0.286
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;282.7;786;0.286
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;273.8;159;0.636
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.5;221;0.636
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;276.9;284;0.636
