;Number of Data;Title;Authors;Source;Year;T (K);p (kPa);nC4H10/nC3H8;nCO2/nC3H8;nC2H6/nC3H8;nN2/nC3H8;nC3H8/nCH4;nC2H6/nCH4;nC4H10/nCH4;nCH4/nC3H8;nN2/nCH4;nCO2/nCH4;nH2S/nC3H8;nN2/nCO2;nCO2/nN2;C2H6;C3H8;C4H10;CO2;H2O in Hydrate;Nonpolar Liquid;N2;CH4;Vapor;H2S;H2O in Aqueous Liquid
20;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;277.8;9715.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;0;0;0;1
885;Dataset 135;Composition of Guests in Hydrates from Gas Mixture;Kawasaki, T.[Tatsuji], Kikuchi, K.[Kei], Terasaki, D.[Daijiro], Okui, T.[Toshiharu], Miyata, K.[Kazuaki], Hirayama, H.[Hiroaki] and Ihara, M.[Masaru];Fourth International Conference on Gas Hydrates, Yokohama, Japan, May 19-23, pp 424-427;2002;274.15;3000.0;0.0;0.0;0.0;0.0;0.154;0.12;0.045;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;0;0;1;1;0;1
886;Dataset 136;Composition of Guests in Hydrates from Gas Mixture;Kawasaki, T.[Tatsuji], Kikuchi, K.[Kei], Terasaki, D.[Daijiro], Okui, T.[Toshiharu], Miyata, K.[Kazuaki], Hirayama, H.[Hiroaki] and Ihara, M.[Masaru];Fourth International Conference on Gas Hydrates, Yokohama, Japan, May 19-23, pp 424-427;2002;278.15;3000.0;0.0;0.0;0.0;0.0;0.214;0.14800000000000002;0.063;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;0;0;1;1;0;1
887;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;281.2;1565.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
888;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;281.2;1620.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
889;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;281.3;2461.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
890;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;281.4;3813.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
891;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;281.7;6102.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
892;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;281.9;8232.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
893;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;282.2;11225.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
894;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;291.7;4799.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
895;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;291.8;5240.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
896;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;292.0;5902.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
897;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;292.5;7212.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
898;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;293.2;9797.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
899;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;293.9;13624.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;1;1;0;0;1
931;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;273.7;1262.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
932;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;274.8;1427.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
933;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;274.8;1420.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
934;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;277.6;2027.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
935;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;280.4;2854.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
936;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;283.2;4047.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
937;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;287.7;7426.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
938;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;289.8;10328.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
939;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;289.8;10439.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
940;Dataset 250;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;277.7;1600.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
941;Dataset 250;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;283.9;3392.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
942;Dataset 250;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;289.2;6964.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0;1;1;0;1;1;0;1;1;1;0;1
