;Number of Data;Title;Authors;Source;Year;T (K);p (kPa);C2H6;C3H8;C4H10;CO2;H2O in Hydrate;Nonpolar Liquid;N2;H2O in Aqueous Liquid;Vapor;H2O in Hydrate sII;H2O in Hydrate sI;Ice;CH4;H2S
29;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;277.87;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
30;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;275.93;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
31;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;269.65;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
32;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;264.54;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
33;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;262.59;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
34;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;261.09;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
35;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;277.87;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
36;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;266.84;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
37;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;263.43;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
38;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;257.73;4138.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0
