Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;285.69;6590;0.0446
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;286.25;10140;0.0446
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;286.67;14326;0.0446
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;288.01;2811;0.078
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;288.27;4804;0.078
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;288.72;7362;0.078
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;289.27;11496;0.078
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;289.84;15339;0.078
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;290.37;3363;0.137
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;290.66;5507;0.137
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;290.91;6362;0.137
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;291.56;9375;0.137
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;291.66;10389;0.137
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;292.1;13133;0.137
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;292.73;16939;0.137
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;294.24;5259;0.257
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;294.85;7810;0.257
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;295.62;10816;0.257
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;296.39;13795;0.257
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;297.15;17063;0.257
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;297.14;8431;0.4823
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;297.93;11078;0.4823
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;298.66;13988;0.4823
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;299.67;17491;0.4823
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;298.09;10430;0.5635
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;298.98;13181;0.5635
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;299.69;15381;0.5635
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;300.22;17408;0.5635
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;298.25;10706;0.594
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;298.94;12623;0.594
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;299.4;14526;0.594
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;300.2;17291;0.594
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;298.02;10600;0.651
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;298.93;13891;0.651
Dataset 367;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;300.12;17125;0.651
