Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.82;1303;0.74
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.65;414;0.578
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.59;689;0.525
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.09;1069;0.52
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.71;793;0.4
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.82;324;0.4
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.37;434;0.39
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.59;752;0.37
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.26;579;0.35
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.21;303;0.28
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.04;593;0.18
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.21;503;0.17
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.09;641;0.17
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.76;476;0.16
Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;C3H8 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.98;338;0.14
